field_name,form_name,field_type,field_label,choices,field_note,validation,validation_min,validation_max,identifier,branching_logic,required_field,field_annotation,field_name_orig,field_label_orig
record_id,enrolment,text,Study ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enr_form_dt,enrolment,text,Date and time of form completion,NA,NA,datetime_seconds_ymd,NA,NA,NA,NA,y,NA,NA,NA
enr_first_name,enrolment,text,First Name,NA,NA,NA,NA,NA,y,NA,y,NA,NA,NA
enr_last_name,enrolment,text,Last Name,NA,NA,NA,NA,NA,y,NA,y,NA,NA,NA
enr_over_18,enrolment,yesno,Is the participant 18 years or older?,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA
enr_age,enrolment,text,Age,NA,In years,integer,0,125,NA,[enr_over_18] = '1',y,NA,NA,NA
enr_gender,enrolment,radio,Gender,"0, Female | 1, Male | 2, Other | 3, Prefer not to say",NA,NA,NA,NA,NA,[enr_over_18]='1',y,NA,NA,NA
enr_telephone,enrolment,text,Participant's telephone number,NA,NA,NA,NA,NA,NA,[enr_over_18]='1',y,NA,NA,NA
enr_signed,enrolment,yesno,Signed consent forms?,NA,NA,NA,NA,NA,NA,[enr_over_18]='1',y,NA,NA,NA
enr_signed_date,enrolment,text,Date of signing of consent forms,NA,NA,date_dmy,NA,NA,NA,[enr_signed]='1',y,NA,NA,NA
elig_form_dt,eligibility,text,Date and time of form completion,NA,NA,datetime_seconds_ymd,NA,NA,NA,NA,y,NA,NA,NA
elig_preg,eligibility,dropdown,Is the participant currently pregnant?,"1, Yes | 2, No | 88, Unknown",NA,NA,NA,NA,NA,[enr_gender] <> '2',y,NA,NA,NA
elig_preg_trim,eligibility,dropdown,Trimester of pregnancy,"1, 1 | 2, 2 | 3, 3 | 88, Unknown",NA,NA,NA,NA,NA,[elig_preg_trim]='1',y,NA,NA,NA
elig_fever,eligibility,yesno,Does the participant currently have a fever?,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA
elig_medical___1,eligibility,checkbox,Does the participant have any significant medical history? Check all that apply: (choice=None),"0, Unchecked | 1, Checked",NA,NA,NA,NA,NA,NA,y,NA,elig_medical,Does the participant have any significant medical history? Check all that apply:
elig_medical___2,eligibility,checkbox,Does the participant have any significant medical history? Check all that apply: (choice=Allergy to vaccines),"0, Unchecked | 1, Checked",NA,NA,NA,NA,NA,NA,y,NA,elig_medical,Does the participant have any significant medical history? Check all that apply:
elig_medical___3,eligibility,checkbox,Does the participant have any significant medical history? Check all that apply: (choice=History of anaphylaxis),"0, Unchecked | 1, Checked",NA,NA,NA,NA,NA,NA,y,NA,elig_medical,Does the participant have any significant medical history? Check all that apply:
elig_medical___4,eligibility,checkbox,Does the participant have any significant medical history? Check all that apply: (choice=Psychiatric disorders),"0, Unchecked | 1, Checked",NA,NA,NA,NA,NA,NA,y,NA,elig_medical,Does the participant have any significant medical history? Check all that apply:
elig_medical___5,eligibility,checkbox,Does the participant have any significant medical history? Check all that apply: (choice=Metabolic disturbances),"0, Unchecked | 1, Checked",NA,NA,NA,NA,NA,NA,y,NA,elig_medical,Does the participant have any significant medical history? Check all that apply:
elig_medical___6,eligibility,checkbox,Does the participant have any significant medical history? Check all that apply: (choice=Drug abuse),"0, Unchecked | 1, Checked",NA,NA,NA,NA,NA,NA,y,NA,elig_medical,Does the participant have any significant medical history? Check all that apply:
elig_medical___7,eligibility,checkbox,Does the participant have any significant medical history? Check all that apply: (choice=HIV),"0, Unchecked | 1, Checked",NA,NA,NA,NA,NA,NA,y,NA,elig_medical,Does the participant have any significant medical history? Check all that apply:
